天 ㄊㄧㄢ
地 ㄉㄧˋ
玄 ㄒㄩㄢˊ
黃 ㄏㄨㄤˊ
宇 ㄩˇ
宙 ㄓㄡˋ
洪 ㄏㄨㄥˊ
荒 ㄏㄨㄤ
日 ㄖˋ
月 ㄩㄝˋ
盈 ㄧㄥˊ
昃 ㄗㄜˋ
辰 ㄔㄣˊ
宿 ㄒㄧㄡˋ
列 ㄌㄧㄝˋ
張 ㄓㄤ
寒 ㄏㄢˊ
來 ㄌㄞˊ
暑 ㄕㄨˇ
往 ㄨㄤˇ
秋 ㄑㄧㄡ
收 ㄕㄡ
冬 ㄉㄨㄥ
藏 ㄘㄤˊ
閏 ㄖㄨㄣˋ
餘 ㄩˊ
成 ㄔㄥˊ
歲 ㄙㄨㄟˋ
律 ㄌㄩˋ
呂 ㄌㄩˇ
調 ㄊㄧㄠˊ
陽 ㄧㄤˊ
雲 ㄩㄣˊ
騰 ㄊㄥˊ
致 ㄓˋ
雨 ㄩˇ
露 ㄌㄨˋ
結 ㄐㄧㄝˊ
為 ㄨㄟˊ
霜 ㄕㄨㄤ
金 ㄐㄧㄣ
生 ㄕㄥ
麗 ㄌㄧˋ
水 ㄕㄨㄟˇ
玉 ㄩˋ
出 ㄔㄨ
崑 ㄎㄨㄣ
崗 ㄍㄤ
劍 ㄐㄧㄢˋ
號 ㄏㄠˋ
巨 ㄐㄩˋ
闕 ㄑㄩㄝˋ
珠 ㄓㄨ
稱 ㄔㄥ
夜 ㄧㄝˋ
光 ㄍㄨㄤ
果 ㄍㄨㄛˇ
珍 ㄓㄣ
李 ㄌㄧˇ
柰 ㄋㄞˋ
菜 ㄘㄞˋ
重 ㄓㄨㄥˋ
芥 ㄐㄧㄝˋ
薑 ㄐㄧㄤ
海 ㄏㄞˇ
鹹 ㄒㄧㄢˊ
河 ㄏㄜˊ
淡 ㄉㄢˋ
鱗 ㄌㄧㄣˊ
潛 ㄑㄧㄢˊ
羽 ㄩˇ
翔 ㄒㄧㄤˊ
龍 ㄌㄨㄥˊ
師 ㄕ
火 ㄏㄨㄛˇ
帝 ㄉㄧˋ
鳥 ㄋㄧㄠˇ
官 ㄍㄨㄢ
人 ㄖㄣˊ
皇 ㄏㄨㄤˊ
始 ㄕˇ
制 ㄓˋ
文 ㄨㄣˊ
字 ㄗˋ
乃 ㄋㄞˇ
服 ㄈㄨˊ
衣 ㄧ
裳 ㄕㄤ˙
推 ㄊㄨㄟ
位 ㄨㄟˋ
讓 ㄖㄤˋ
國 ㄍㄨㄛˊ
有 ㄧㄡˇ
虞 ㄩˊ
陶 ㄊㄠˊ
唐 ㄊㄤˊ
弔 ㄉㄧㄠˋ
民 ㄇㄧㄣˊ
伐 ㄈㄚ
罪 ㄗㄨㄟˋ
周 ㄓㄡ
發 ㄈㄚ
殷 ㄧㄣ
湯 ㄊㄤ
坐 ㄗㄨㄛˋ
朝 ㄔㄠˊ
問 ㄨㄣˋ
道 ㄉㄠˋ
垂 ㄔㄨㄟˊ
拱 ㄍㄨㄥˇ
平 ㄆㄧㄥˊ
章 ㄓㄤ
愛 ㄞˋ
育 ㄩˋ
黎 ㄌㄧˊ
首 ㄕㄡˇ
臣 ㄔㄣˊ
伏 ㄈㄨˊ
戎 ㄖㄨㄥˊ
羌 ㄑㄧㄤ
遐 ㄒㄧㄚˊ
邇 ㄦˇ
壹 ㄧ
體 ㄊㄧˇ
率 ㄕㄨㄞˋ
賓 ㄅㄧㄣ
歸 ㄍㄨㄟ
王 ㄨㄤˋ
鳴 ㄇㄧㄥˊ
鳳 ㄈㄥˋ
在 ㄗㄞˋ
樹 ㄕㄨˋ
白 ㄅㄞˊ
駒 ㄐㄩ
食 ㄕˊ
場 ㄔㄤˇ
化 ㄏㄨㄚˋ
被 ㄆㄧ
草 ㄘㄠˇ
木 ㄇㄨˋ
賴 ㄌㄞˋ
及 ㄐㄧˊ
萬 ㄨㄢˋ
方 ㄈㄤ
蓋 ㄍㄞˋ
此 ㄘˇ
身 ㄕㄣ
髮 ㄈㄚˇ
四 ㄙˋ
大 ㄉㄚˋ
五 ㄨˇ
常 ㄔㄤˊ
恭 ㄍㄨㄥ
惟 ㄨㄟˊ
鞠 ㄐㄩˊ
養 ㄧㄤˇ
豈 ㄑㄧˇ
敢 ㄍㄢˇ
毀 ㄏㄨㄟˇ
傷 ㄕㄤ
女 ㄋㄩˇ
慕 ㄇㄨˋ
貞 ㄓㄣ
絜 ㄐㄧㄝˊ
男 ㄋㄢˊ
效 ㄒㄧㄠˋ
才 ㄘㄞˊ
良 ㄌㄧㄤˊ
知 ㄓ
過 ㄍㄨㄛˋ
必 ㄅㄧˋ
改 ㄍㄞˇ
得 ㄉㄜˊ
能 ㄋㄥˊ
莫 ㄇㄛˋ
忘 ㄨㄤˋ
罔 ㄨㄤˇ
談 ㄊㄢˊ
彼 ㄅㄧˇ
短 ㄉㄨㄢˇ
靡 ㄇㄧˇ
恃 ㄕˋ
己 ㄐㄧˇ
長 ㄔㄤˊ
信 ㄒㄧㄣˋ
使 ㄕˇ
可 ㄎㄜˇ
覆 ㄈㄨˋ
器 ㄑㄧˋ
欲 ㄩˋ
難 ㄋㄢˊ
量 ㄌㄧㄤˊ
墨 ㄇㄛˋ
悲 ㄅㄟ
絲 ㄙ
染 ㄖㄢˇ
詩 ㄕ
讚 ㄗㄢˋ
羔 ㄍㄠ
羊 ㄧㄤˊ
景 ㄐㄧㄥˇ
行 ㄒㄧㄥˋ
維 ㄨㄟˊ
賢 ㄒㄧㄢˊ
剋 ㄎㄜˋ
念 ㄋㄧㄢˋ
作 ㄗㄨㄛˋ
聖 ㄕㄥˋ
德 ㄉㄜˊ
建 ㄐㄧㄢˋ
名 ㄇㄧㄥˊ
立 ㄌㄧˋ
